"","id","action_id","action","held","target","yield","points","token","condition","total_points"
"1",3,1,"combine","square_plain_0","square_stripes_0","square_stripes_1",0,"12ZKUY1V","easy",0
"2",3,2,"consume","square_stripes_1","","",10,"12ZKUY1V","easy",10
"3",3,3,"combine","square_checkered_0","square_stripes_0","square_stripes_1",0,"12ZKUY1V","easy",10
"4",3,4,"combine","square_stripes_1","square_plain_0","square_plain_2",0,"12ZKUY1V","easy",10
"5",3,5,"combine","square_plain_2","circle_checkered_0","",0,"12ZKUY1V","easy",10
"6",3,6,"combine","square_plain_2","circle_plain_0","",0,"12ZKUY1V","easy",10
"7",3,7,"combine","square_plain_2","circle_dots_0","",0,"12ZKUY1V","easy",10
"8",3,8,"combine","square_plain_2","triangle_dots_0","",0,"12ZKUY1V","easy",10
"9",3,9,"combine","square_plain_2","diamond_dots_0","",0,"12ZKUY1V","easy",10
"10",3,10,"combine","square_plain_2","diamond_stripes_0","",0,"12ZKUY1V","easy",10
"11",3,11,"combine","square_plain_2","triangle_checkered_0","",0,"12ZKUY1V","easy",10
"12",3,12,"combine","square_plain_2","diamond_checkered_0","",0,"12ZKUY1V","easy",10
"13",3,13,"combine","square_plain_2","square_dots_0","square_dots_3",0,"12ZKUY1V","easy",10
"14",3,14,"combine","square_dots_3","triangle_stripes_0","",0,"12ZKUY1V","easy",10
"15",3,15,"combine","square_dots_3","circle_stripes_0","",0,"12ZKUY1V","easy",10
"16",3,16,"combine","square_dots_3","square_checkered_0","square_checkered_4",0,"12ZKUY1V","easy",10
"17",3,17,"combine","square_checkered_4","diamond_plain_0","",0,"12ZKUY1V","easy",10
"18",3,18,"combine","square_checkered_4","triangle_plain_0","",0,"12ZKUY1V","easy",10
"19",3,19,"combine","square_checkered_4","square_dots_0","square_dots_5",0,"12ZKUY1V","easy",10
"20",3,20,"consume","square_dots_5","","",100000,"12ZKUY1V","easy",100010
"21",3,21,"combine","circle_checkered_0","circle_plain_0","circle_plain_1",0,"12ZKUY1V","easy",100010
"22",3,22,"combine","circle_plain_1","circle_dots_0","circle_dots_2",0,"12ZKUY1V","easy",100010
"23",3,23,"combine","circle_dots_2","triangle_dots_0","",0,"12ZKUY1V","easy",100010
"24",3,24,"combine","circle_dots_2","diamond_dots_0","",0,"12ZKUY1V","easy",100010
"25",3,25,"consume","circle_dots_2","","",100,"12ZKUY1V","easy",100110
"26",3,26,"combine","diamond_stripes_0","circle_dots_0","",0,"12ZKUY1V","easy",100110
"27",3,27,"combine","diamond_stripes_0","circle_checkered_0","",0,"12ZKUY1V","easy",100110
"28",3,28,"combine","diamond_stripes_0","triangle_checkered_0","",0,"12ZKUY1V","easy",100110
"29",3,29,"combine","diamond_stripes_0","diamond_checkered_0","diamond_checkered_1",0,"12ZKUY1V","easy",100110
"30",3,30,"combine","diamond_checkered_1","triangle_checkered_0","",0,"12ZKUY1V","easy",100110
"31",3,31,"combine","diamond_checkered_1","circle_checkered_0","",0,"12ZKUY1V","easy",100110
"32",3,32,"combine","diamond_checkered_1","circle_dots_0","",0,"12ZKUY1V","easy",100110
"33",3,33,"combine","diamond_checkered_1","circle_plain_0","",0,"12ZKUY1V","easy",100110
"34",3,34,"combine","diamond_checkered_1","triangle_dots_0","",0,"12ZKUY1V","easy",100110
"35",3,35,"combine","diamond_checkered_1","triangle_plain_0","",0,"12ZKUY1V","easy",100110
"36",3,36,"combine","diamond_checkered_1","diamond_plain_0","diamond_plain_2",0,"12ZKUY1V","easy",100110
"37",3,37,"combine","diamond_plain_2","circle_checkered_0","",0,"12ZKUY1V","easy",100110
"38",3,38,"combine","diamond_plain_2","triangle_checkered_0","",0,"12ZKUY1V","easy",100110
"39",3,39,"combine","diamond_plain_2","diamond_checkered_0","diamond_checkered_3",0,"12ZKUY1V","easy",100110
"40",3,40,"combine","diamond_checkered_3","circle_dots_0","",0,"12ZKUY1V","easy",100110
"41",5,1,"combine","triangle_checkered_0","triangle_plain_0","triangle_plain_1",0,"4C5SWFEU","easy",0
"42",5,2,"combine","triangle_plain_1","diamond_checkered_0","",0,"4C5SWFEU","easy",0
"43",5,3,"combine","triangle_plain_1","diamond_checkered_0","",0,"4C5SWFEU","easy",0
"44",5,4,"combine","triangle_plain_1","triangle_plain_0","triangle_plain_2",0,"4C5SWFEU","easy",0
"45",5,5,"combine","triangle_plain_2","triangle_checkered_0","triangle_checkered_3",0,"4C5SWFEU","easy",0
"46",5,6,"combine","triangle_checkered_3","square_checkered_0","",0,"4C5SWFEU","easy",0
"47",5,7,"combine","triangle_checkered_3","triangle_stripes_0","triangle_stripes_4",0,"4C5SWFEU","easy",0
"48",5,8,"combine","square_stripes_0","square_plain_0","square_plain_1",0,"4C5SWFEU","easy",0
"49",5,9,"combine","square_plain_1","square_dots_0","square_dots_2",0,"4C5SWFEU","easy",0
"50",5,10,"combine","square_dots_2","square_plain_0","square_plain_3",0,"4C5SWFEU","easy",0
"51",5,11,"combine","square_plain_3","square_stripes_0","square_stripes_4",0,"4C5SWFEU","easy",0
"52",5,12,"combine","square_stripes_4","square_dots_0","square_dots_5",0,"4C5SWFEU","easy",0
"53",5,13,"combine","square_dots_5","square_checkered_0","",0,"4C5SWFEU","easy",0
"54",5,14,"combine","circle_plain_0","circle_checkered_0","circle_checkered_1",0,"4C5SWFEU","easy",0
"55",5,15,"combine","circle_checkered_1","circle_dots_0","circle_dots_2",0,"4C5SWFEU","easy",0
"56",5,16,"combine","circle_dots_2","circle_plain_0","circle_plain_3",0,"4C5SWFEU","easy",0
"57",5,17,"combine","circle_plain_3","circle_checkered_0","circle_checkered_4",0,"4C5SWFEU","easy",0
"58",5,18,"combine","circle_checkered_4","circle_dots_0","circle_dots_5",0,"4C5SWFEU","easy",0
"59",5,19,"combine","circle_dots_5","circle_stripes_0","",0,"4C5SWFEU","easy",0
"60",5,20,"combine","triangle_stripes_0","triangle_stripes_4","triangle_stripes_5",0,"4C5SWFEU","easy",0
"61",5,21,"combine","triangle_stripes_5","square_dots_5","",0,"4C5SWFEU","easy",0
"62",5,22,"combine","triangle_stripes_5","triangle_dots_0","",0,"4C5SWFEU","easy",0
"63",5,23,"combine","diamond_dots_0","diamond_checkered_0","diamond_checkered_1",0,"4C5SWFEU","easy",0
"64",5,24,"combine","diamond_checkered_1","diamond_plain_0","diamond_plain_2",0,"4C5SWFEU","easy",0
"65",5,25,"combine","diamond_plain_2","diamond_stripes_0","diamond_stripes_3",0,"4C5SWFEU","easy",0
"66",5,26,"combine","diamond_stripes_3","diamond_dots_0","diamond_dots_4",0,"4C5SWFEU","easy",0
"67",5,27,"combine","diamond_dots_4","diamond_plain_0","diamond_plain_5",0,"4C5SWFEU","easy",0
"68",5,28,"combine","diamond_plain_5","diamond_stripes_0","",0,"4C5SWFEU","easy",0
"69",5,29,"combine","diamond_plain_5","diamond_checkered_0","",0,"4C5SWFEU","easy",0
"70",5,30,"combine","diamond_checkered_0","diamond_stripes_0","diamond_stripes_1",0,"4C5SWFEU","easy",0
"71",5,31,"consume","diamond_stripes_1","","",10,"4C5SWFEU","easy",10
"72",5,32,"consume","diamond_plain_5","","",100000,"4C5SWFEU","easy",100010
"73",5,33,"consume","circle_dots_5","","",100000,"4C5SWFEU","easy",200010
"74",5,34,"consume","triangle_stripes_5","","",100000,"4C5SWFEU","easy",300010
"75",5,35,"consume","square_dots_5","","",100000,"4C5SWFEU","easy",400010
"76",5,36,"consume","triangle_dots_0","","",1,"4C5SWFEU","easy",400011
"77",5,37,"consume","circle_stripes_0","","",1,"4C5SWFEU","easy",400012
"78",5,38,"consume","square_checkered_0","","",1,"4C5SWFEU","easy",400013
"79",5,39,"combine","triangle_dots_0","circle_stripes_0","",0,"4C5SWFEU","easy",400013
"80",5,40,"combine","triangle_dots_0","circle_stripes_0","",0,"4C5SWFEU","easy",400013
"81",12,1,"combine","square_stripes_0","diamond_checkered_0","",0,"981LE32D","medium",0
"82",12,2,"combine","square_stripes_0","square_checkered_0","",0,"981LE32D","medium",0
"83",12,3,"combine","square_stripes_0","diamond_dots_0","",0,"981LE32D","medium",0
"84",12,4,"combine","square_stripes_0","square_dots_0","",0,"981LE32D","medium",0
"85",12,5,"combine","square_stripes_0","square_checkered_0","",0,"981LE32D","medium",0
"86",12,6,"consume","square_stripes_0","","",1,"981LE32D","medium",1
"87",12,7,"combine","circle_plain_0","diamond_stripes_0","",0,"981LE32D","medium",1
"88",12,8,"consume","circle_plain_0","","",1,"981LE32D","medium",2
"89",12,9,"combine","diamond_stripes_0","square_plain_0","",0,"981LE32D","medium",2
"90",12,10,"combine","diamond_stripes_0","diamond_dots_0","",0,"981LE32D","medium",2
"91",12,11,"combine","diamond_stripes_0","square_dots_0","",0,"981LE32D","medium",2
"92",12,12,"combine","diamond_stripes_0","triangle_dots_0","diamond_dots_1",0,"981LE32D","medium",2
"93",12,13,"combine","diamond_dots_1","triangle_stripes_0","diamond_stripes_2",0,"981LE32D","medium",2
"94",12,14,"combine","diamond_stripes_2","circle_dots_0","",0,"981LE32D","medium",2
"95",12,15,"consume","diamond_stripes_2","","",100,"981LE32D","medium",102
"96",12,16,"combine","diamond_dots_0","square_plain_0","",0,"981LE32D","medium",102
"97",12,17,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",102
"98",12,18,"consume","diamond_dots_0","","",1,"981LE32D","medium",103
"99",12,19,"combine","circle_plain_0","square_stripes_0","circle_stripes_1",0,"981LE32D","medium",103
"100",12,20,"combine","circle_stripes_1","circle_checkered_0","",0,"981LE32D","medium",103
"101",12,21,"combine","circle_stripes_1","triangle_stripes_0","",0,"981LE32D","medium",103
"102",12,22,"combine","circle_stripes_1","triangle_dots_0","",0,"981LE32D","medium",103
"103",12,23,"combine","circle_stripes_1","diamond_checkered_0","",0,"981LE32D","medium",103
"104",12,24,"combine","circle_stripes_1","circle_dots_0","",0,"981LE32D","medium",103
"105",12,25,"consume","circle_stripes_1","","",10,"981LE32D","medium",113
"106",12,26,"combine","triangle_checkered_0","square_checkered_0","",0,"981LE32D","medium",113
"107",12,27,"combine","triangle_checkered_0","triangle_stripes_0","",0,"981LE32D","medium",113
"108",12,28,"consume","triangle_checkered_0","","",1,"981LE32D","medium",114
"109",12,29,"combine","circle_checkered_0","square_dots_0","circle_dots_1",0,"981LE32D","medium",114
"110",12,30,"combine","circle_dots_1","diamond_dots_0","",0,"981LE32D","medium",114
"111",12,31,"combine","circle_dots_1","circle_stripes_0","",0,"981LE32D","medium",114
"112",12,32,"consume","circle_dots_1","","",10,"981LE32D","medium",124
"113",12,33,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"114",12,34,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"115",12,35,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"116",12,36,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"117",12,37,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"118",12,38,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"119",12,39,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"120",12,40,"combine","diamond_dots_0","circle_stripes_0","",0,"981LE32D","medium",124
"121",21,1,"combine","triangle_stripes_0","triangle_dots_0","",0,"HOYTWSAU","medium",0
"122",21,2,"combine","triangle_stripes_0","triangle_dots_0","",0,"HOYTWSAU","medium",0
"123",21,3,"combine","triangle_stripes_0","square_checkered_0","",0,"HOYTWSAU","medium",0
"124",21,4,"combine","triangle_stripes_0","square_plain_0","",0,"HOYTWSAU","medium",0
"125",21,5,"combine","triangle_stripes_0","diamond_dots_0","triangle_dots_1",0,"HOYTWSAU","medium",0
"126",21,6,"consume","triangle_dots_1","","",10,"HOYTWSAU","medium",10
"127",21,7,"combine","circle_plain_0","circle_checkered_0","",0,"HOYTWSAU","medium",10
"128",21,8,"combine","circle_plain_0","circle_dots_0","",0,"HOYTWSAU","medium",10
"129",21,9,"combine","circle_plain_0","triangle_checkered_0","",0,"HOYTWSAU","medium",10
"130",21,10,"consume","circle_plain_0","","",1,"HOYTWSAU","medium",11
"131",21,11,"combine","square_plain_0","square_stripes_0","",0,"HOYTWSAU","medium",11
"132",21,12,"combine","square_plain_0","triangle_plain_0","",0,"HOYTWSAU","medium",11
"133",21,13,"combine","square_plain_0","circle_plain_0","",0,"HOYTWSAU","medium",11
"134",21,14,"combine","square_plain_0","circle_checkered_0","square_checkered_1",0,"HOYTWSAU","medium",11
"135",21,15,"consume","square_checkered_1","","",10,"HOYTWSAU","medium",21
"136",21,16,"combine","circle_dots_0","diamond_plain_0","",0,"HOYTWSAU","medium",21
"137",21,17,"combine","circle_dots_0","square_dots_0","",0,"HOYTWSAU","medium",21
"138",21,18,"combine","circle_dots_0","diamond_checkered_0","",0,"HOYTWSAU","medium",21
"139",21,19,"combine","circle_dots_0","circle_stripes_0","",0,"HOYTWSAU","medium",21
"140",21,20,"combine","circle_dots_0","diamond_stripes_0","",0,"HOYTWSAU","medium",21
"141",21,21,"combine","circle_dots_0","circle_plain_0","",0,"HOYTWSAU","medium",21
"142",21,22,"combine","circle_dots_0","triangle_dots_0","",0,"HOYTWSAU","medium",21
"143",21,23,"combine","circle_dots_0","square_stripes_0","circle_stripes_1",0,"HOYTWSAU","medium",21
"144",21,24,"combine","circle_stripes_1","circle_checkered_0","",0,"HOYTWSAU","medium",21
"145",21,25,"combine","circle_stripes_1","diamond_dots_0","",0,"HOYTWSAU","medium",21
"146",21,26,"combine","circle_stripes_1","square_checkered_0","circle_checkered_2",0,"HOYTWSAU","medium",21
"147",21,27,"combine","circle_checkered_2","square_plain_0","circle_plain_3",0,"HOYTWSAU","medium",21
"148",21,28,"combine","circle_plain_3","square_dots_0","circle_dots_4",0,"HOYTWSAU","medium",21
"149",21,29,"combine","circle_dots_4","square_checkered_0","circle_checkered_5",0,"HOYTWSAU","medium",21
"150",21,30,"combine","circle_checkered_5","square_stripes_0","",0,"HOYTWSAU","medium",21
"151",21,31,"combine","circle_checkered_5","square_dots_0","",0,"HOYTWSAU","medium",21
"152",21,32,"consume","circle_checkered_5","","",100000,"HOYTWSAU","medium",100021
"153",21,33,"combine","square_stripes_0","circle_plain_0","square_plain_1",0,"HOYTWSAU","medium",100021
"154",21,34,"combine","square_plain_1","circle_stripes_0","square_stripes_2",0,"HOYTWSAU","medium",100021
"155",21,35,"combine","square_stripes_2","circle_checkered_0","square_checkered_3",0,"HOYTWSAU","medium",100021
"156",21,36,"combine","square_checkered_3","circle_dots_0","square_dots_4",0,"HOYTWSAU","medium",100021
"157",21,37,"combine","square_dots_4","circle_stripes_0","square_stripes_5",0,"HOYTWSAU","medium",100021
"158",21,38,"consume","square_stripes_5","","",100000,"HOYTWSAU","medium",200021
"159",21,39,"combine","diamond_plain_0","triangle_checkered_0","diamond_checkered_1",0,"HOYTWSAU","medium",200021
"160",21,40,"combine","diamond_checkered_1","triangle_checkered_0","",0,"HOYTWSAU","medium",200021
"161",24,1,"combine","square_plain_0","circle_dots_0","square_dots_1",0,"G1XU2ULA","medium",0
"162",24,2,"combine","square_dots_1","circle_plain_0","square_plain_2",0,"G1XU2ULA","medium",0
