sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms
93,hard,2026-04-23 09:38:31,LNVVC13Q,hard,36,male,6,7,NA,10_32_29,TRUE,100116,"diamond + triangle, more triangles",diamond then triangles to bank more points then try to figure out the rest of the pattern,i focused on the notes and previous players too much and struggled to find other patterns,31490,173374,43879
94,hard,2026-04-23 09:39:44,2Y3KUPFP,hard,47,female,7,9,No comments,10_33_26,TRUE,0,Diamonds and cirlces go together remember to harvest,Diamonds and Circles go together remember to harvest,Didnt do so well at this! Pay attention to that other players say.,15608,126937,36047
95,medium,2026-04-23 09:41:10,PJV0LM76,medium,60,male,10,9,Not sure I was very good!,10_32_20,TRUE,10070,Triangles + diamonds\nSquare + circle\nPurple bank,Good luck!,Cirlces + squares and diamnonds and triangles I think,34429,259060,27881
96,easy,2026-04-23 09:45:13,I2OATLAD,easy,42,male,9,3,The study was engaging,10_32_37,TRUE,400040,"Merge same shapes until the shape is purple, then harvest","focus on shapes, merge same shapes and harvest after getting to a purple colour","same shapes merge better, need 5 merges to get to purple colour",33110,154149,183905
97,medium,2026-04-23 09:45:16,DUUC18WX,medium,54,male,5,7,no,10_38_50,TRUE,1102,"Combine triangles with diamonds, squares with circles.",i dont have any tips. i seemed random to me.,i did not notice anything. i was confused.,36469,147606,38400
98,medium,2026-04-23 09:46:51,3KXT7U9H,medium,69,female,0,10,I am not competitive and just enjoyed clicking buttons!,10_37_44,TRUE,20000,"Combine Triangles with Diamonds, and Squares with Circles (and vice versa both) Bank the purple colour. In reality - I am not used to video games - I wont remember how to play so I shall just enjoy the experience and not bother about maximising the points","I didnt follow any strategy as I havent a clue what I am doing with video games but the top tip seems to be: Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.",Noe I just happily clicked buttons!,102537,214398,67666
99,easy,2026-04-23 09:49:06,ZMC8MF8G,easy,50,male,9,6,na,10_34_40,TRUE,310041,collect the same shape gems and press space bar on a blank square to collect the points,pick one shape and merge with the same shape crystal until you cant merge any further then move onto a blank square to harvest the points. Aim to merge the crystals into a purple one. 100k points,red + red = orange the patter doesnt matter 10 points\norange + red = light green\nlight green + red = dark green\nmax points = blue + red gives you a purple crystal 100k points,52239,221428,341984
100,medium,2026-04-23 09:50:36,7RK8SI0V,medium,43,female,10,10,Couldnt work out what was selected,10_40_50,TRUE,100000,Select Triangle and Diamonds together and Squares with Circles,Triangle and diamonds match,No idea which ones selected so look at the found recipe side,36801,184521,49824
101,hard,2026-04-23 09:57:30,A4IKJYMV,hard,42,female,8,8,It would have been good to have a quick practice first. ,10_40_35,TRUE,160,Diamonds and triangles go together\nCircles and squares go together\nBlue is higher\nShapes need the same patterns,Diamonds and triangles go together as do circles and squares. There were only a couple of blues and I didnt quite harvest them in time as some shapes do disappear.,The patterns within the shapes needs to be the same.,44077,586165,92172
102,medium,2026-04-23 10:08:56,G392JAEE,medium,45,male,10,7,This was fun thanks! Good luck with your research :),10_40_49,TRUE,202010,"Triangles combine with Diamonds, Squares combine with Circles, Bank Purples","Triangles combine with diamonds, squares with circles. For the first match make sure the patterns are different (ie solid red triangle will not combine with solid red diamond, but will combine with any other patterned diamond). When you match, the carried shape remains the same (eg if you match red triangle with a diamond, youre now carrying an orange triangle).  Therefore, keep matching with the same second shape (in this example more diamonds).  So the sequence would be 1. Triangle + Diamond (different patten) > 2. Match with another Diamond (any pattern) > 3. Match with another Diamond > 4. Match with another Diamond etc etc.  Once you reach purple, bank the shape.","Triangle + Diamond, Square + Circle, Bank when purple.  Initial matches in a sequence require these shapes but different patterns (eg solid square matches with striped circle, but solid square wont match with solid circle)",71378,644708,538213
103,hard,2026-04-23 10:16:51,0MU5GLEF,hard,34,male,10,5,It was a nice one really enjoyed it thank you.,11_06_36,TRUE,401,going to try some different combinations and see how it works.,"You have to get the object to the green colour to earn points, triangles and diamonds and circles and squares","Just match the two like has been said by my previous comment, do not try and match a square with a triangle as it will not work.",31767,301975,91520
104,medium,2026-04-27 09:49:58,I2933Z6F,medium,54,female,5,5,No,10_43_17,TRUE,110000,Triangles + Diamonds (then stack)\nSquares + Circles,Drop diamonds onto Triangles\nDrop Circles onto Squares,Bank purple as this cannot be combined,26320,181914,45640
105,medium,2026-04-27 09:52:51,OFYOMVBT,medium,46,male,9,9,No comments.,10_43_25,TRUE,10210,"Always bank purple.\nTriangle + Diamond, Square + Circle.\nRepeat shape patterns to increase value.","Combine squares with circles, combine triangles with diamonds.\nSquares with dots combine with circles with grid pattern to make the highest value.",Square + circle. Triangle + diamond.\nDot pattern + grid pattern scores high.,64912,186738,147262
106,medium,2026-04-27 09:55:42,3MHSR7W1,medium,46,male,9,7,Good luck with the study,10_48_48,TRUE,301104,Combine diamond and triangles\nSquare and circle\nKeep stacking,"Combine diamonds and triangles, then keep alternating between the two.  Bank when you get to purple.  Same for circle and square","Make sure to alternate between triable and diamond, or circle and square",33464,226863,43509
107,medium,2026-04-27 10:21:27,JDDL4KM0,medium,50,male,8,7,no.,10_47_35,TRUE,10090,Only combine certain shapes that work together like diamonds and triangles.,combine circles and squares only and triangles and diamonds only for the best results.,"shapes of the same colour, like red square and red circle work best together.",58436,136601,101943
