id,condition,summary,message_how,message_rules,total_points
93,hard,"diamond + triangle, more triangles",diamond then triangles to bank more points then try to figure out the rest of the pattern,i focused on the notes and previous players too much and struggled to find other patterns,100116
94,hard,Diamonds and cirlces go together remember to harvest,Diamonds and Circles go together remember to harvest,Didnt do so well at this! Pay attention to that other players say.,0
95,medium,Triangles + diamonds\nSquare + circle\nPurple bank,Good luck!,Cirlces + squares and diamnonds and triangles I think,10070
96,easy,"Merge same shapes until the shape is purple, then harvest","focus on shapes, merge same shapes and harvest after getting to a purple colour","same shapes merge better, need 5 merges to get to purple colour",400040
97,medium,"Combine triangles with diamonds, squares with circles.",i dont have any tips. i seemed random to me.,i did not notice anything. i was confused.,1102
98,medium,"Combine Triangles with Diamonds, and Squares with Circles (and vice versa both) Bank the purple colour. In reality - I am not used to video games - I wont remember how to play so I shall just enjoy the experience and not bother about maximising the points","I didnt follow any strategy as I havent a clue what I am doing with video games but the top tip seems to be: Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.",Noe I just happily clicked buttons!,20000
99,easy,collect the same shape gems and press space bar on a blank square to collect the points,pick one shape and merge with the same shape crystal until you cant merge any further then move onto a blank square to harvest the points. Aim to merge the crystals into a purple one. 100k points,red + red = orange the patter doesnt matter 10 points\norange + red = light green\nlight green + red = dark green\nmax points = blue + red gives you a purple crystal 100k points,310041
100,medium,Select Triangle and Diamonds together and Squares with Circles,Triangle and diamonds match,No idea which ones selected so look at the found recipe side,100000
101,hard,Diamonds and triangles go together\nCircles and squares go together\nBlue is higher\nShapes need the same patterns,Diamonds and triangles go together as do circles and squares. There were only a couple of blues and I didnt quite harvest them in time as some shapes do disappear.,The patterns within the shapes needs to be the same.,160
102,medium,"Triangles combine with Diamonds, Squares combine with Circles, Bank Purples","Triangles combine with diamonds, squares with circles. For the first match make sure the patterns are different (ie solid red triangle will not combine with solid red diamond, but will combine with any other patterned diamond). When you match, the carried shape remains the same (eg if you match red triangle with a diamond, youre now carrying an orange triangle).  Therefore, keep matching with the same second shape (in this example more diamonds).  So the sequence would be 1. Triangle + Diamond (different patten) > 2. Match with another Diamond (any pattern) > 3. Match with another Diamond > 4. Match with another Diamond etc etc.  Once you reach purple, bank the shape.","Triangle + Diamond, Square + Circle, Bank when purple.  Initial matches in a sequence require these shapes but different patterns (eg solid square matches with striped circle, but solid square wont match with solid circle)",202010
103,hard,going to try some different combinations and see how it works.,"You have to get the object to the green colour to earn points, triangles and diamonds and circles and squares","Just match the two like has been said by my previous comment, do not try and match a square with a triangle as it will not work.",401
104,medium,Triangles + Diamonds (then stack)\nSquares + Circles,Drop diamonds onto Triangles\nDrop Circles onto Squares,Bank purple as this cannot be combined,110000
105,medium,"Always bank purple.\nTriangle + Diamond, Square + Circle.\nRepeat shape patterns to increase value.","Combine squares with circles, combine triangles with diamonds.\nSquares with dots combine with circles with grid pattern to make the highest value.",Square + circle. Triangle + diamond.\nDot pattern + grid pattern scores high.,10210
106,medium,Combine diamond and triangles\nSquare and circle\nKeep stacking,"Combine diamonds and triangles, then keep alternating between the two.  Bank when you get to purple.  Same for circle and square","Make sure to alternate between triable and diamond, or circle and square",301104
107,medium,Only combine certain shapes that work together like diamonds and triangles.,combine circles and squares only and triangles and diamonds only for the best results.,"shapes of the same colour, like red square and red circle work best together.",10090
