sub_id,event_id,timestamp,event_action,pos_x,pos_y,actions_left,current_points,currently_carrying,token
93,1,2026-04-23T08:34:25Z,moveUp,7,6,40,0,,LNVVC13Q
93,2,2026-04-23T08:34:26Z,moveUp,7,5,40,0,,LNVVC13Q
93,3,2026-04-23T08:34:28Z,moveUp,7,4,40,0,,LNVVC13Q
93,4,2026-04-23T08:34:28Z,moveUp,7,3,40,0,,LNVVC13Q
93,5,2026-04-23T08:34:29Z,moveUp,7,2,40,0,,LNVVC13Q
93,6,2026-04-23T08:34:29Z,moveLeft,6,2,40,0,,LNVVC13Q
93,7,2026-04-23T08:34:31Z,pickUp,6,2,40,0,diamond_stripes_0,LNVVC13Q
93,8,2026-04-23T08:34:32Z,moveLeft,5,2,40,0,diamond_stripes_0,LNVVC13Q
93,9,2026-04-23T08:34:32Z,moveLeft,4,2,40,0,diamond_stripes_0,LNVVC13Q
93,10,2026-04-23T08:34:32Z,moveLeft,3,2,40,0,diamond_stripes_0,LNVVC13Q
93,11,2026-04-23T08:34:33Z,moveLeft,2,2,40,0,diamond_stripes_0,LNVVC13Q
93,12,2026-04-23T08:34:33Z,moveDown,2,3,40,0,diamond_stripes_0,LNVVC13Q
93,13,2026-04-23T08:34:33Z,moveDown,2,4,40,0,diamond_stripes_0,LNVVC13Q
93,14,2026-04-23T08:34:33Z,moveDown,2,5,40,0,diamond_stripes_0,LNVVC13Q
93,15,2026-04-23T08:34:35Z,combine,2,5,39,0,diamond_stripes_1,LNVVC13Q
93,16,2026-04-23T08:34:37Z,moveLeft,1,5,39,0,diamond_stripes_1,LNVVC13Q
93,17,2026-04-23T08:34:37Z,combine,1,5,38,0,diamond_dots_2,LNVVC13Q
93,18,2026-04-23T08:34:38Z,moveLeft,0,5,38,0,diamond_dots_2,LNVVC13Q
93,19,2026-04-23T08:34:39Z,moveDown,0,6,38,0,diamond_dots_2,LNVVC13Q
93,20,2026-04-23T08:34:40Z,combine,0,6,37,0,diamond_dots_2,LNVVC13Q
93,21,2026-04-23T08:34:44Z,moveDown,0,7,37,0,diamond_dots_2,LNVVC13Q
93,22,2026-04-23T08:34:44Z,moveDown,0,8,37,0,diamond_dots_2,LNVVC13Q
93,23,2026-04-23T08:34:45Z,moveDown,0,9,37,0,diamond_dots_2,LNVVC13Q
93,24,2026-04-23T08:34:45Z,moveDown,0,10,37,0,diamond_dots_2,LNVVC13Q
93,25,2026-04-23T08:34:45Z,combine,0,10,36,0,diamond_checkered_3,LNVVC13Q
93,26,2026-04-23T08:34:49Z,moveRight,1,10,36,0,diamond_checkered_3,LNVVC13Q
93,27,2026-04-23T08:34:50Z,moveRight,2,10,36,0,diamond_checkered_3,LNVVC13Q
93,28,2026-04-23T08:34:50Z,moveRight,3,10,36,0,diamond_checkered_3,LNVVC13Q
93,29,2026-04-23T08:34:51Z,moveRight,4,10,36,0,diamond_checkered_3,LNVVC13Q
93,30,2026-04-23T08:34:51Z,moveRight,5,10,36,0,diamond_checkered_3,LNVVC13Q
93,31,2026-04-23T08:34:52Z,moveRight,6,10,36,0,diamond_checkered_3,LNVVC13Q
93,32,2026-04-23T08:34:52Z,moveRight,7,10,36,0,diamond_checkered_3,LNVVC13Q
93,33,2026-04-23T08:34:53Z,moveRight,8,10,36,0,diamond_checkered_3,LNVVC13Q
93,34,2026-04-23T08:34:54Z,moveUp,8,9,36,0,diamond_checkered_3,LNVVC13Q
93,35,2026-04-23T08:34:54Z,moveUp,8,8,36,0,diamond_checkered_3,LNVVC13Q
93,36,2026-04-23T08:34:55Z,combine,8,8,35,0,diamond_dots_4,LNVVC13Q
93,37,2026-04-23T08:34:59Z,moveLeft,7,8,35,0,diamond_dots_4,LNVVC13Q
93,38,2026-04-23T08:35:00Z,moveLeft,6,8,35,0,diamond_dots_4,LNVVC13Q
93,39,2026-04-23T08:35:00Z,moveLeft,5,8,35,0,diamond_dots_4,LNVVC13Q
93,40,2026-04-23T08:35:00Z,moveLeft,4,8,35,0,diamond_dots_4,LNVVC13Q
93,41,2026-04-23T08:35:01Z,moveLeft,3,8,35,0,diamond_dots_4,LNVVC13Q
93,42,2026-04-23T08:35:01Z,moveLeft,2,8,35,0,diamond_dots_4,LNVVC13Q
93,43,2026-04-23T08:35:01Z,moveUp,2,7,35,0,diamond_dots_4,LNVVC13Q
93,44,2026-04-23T08:35:01Z,moveUp,2,6,35,0,diamond_dots_4,LNVVC13Q
93,45,2026-04-23T08:35:02Z,combine,2,6,34,0,diamond_checkered_5,LNVVC13Q
93,46,2026-04-23T08:35:05Z,moveLeft,1,6,34,0,diamond_checkered_5,LNVVC13Q
93,47,2026-04-23T08:35:05Z,moveLeft,0,6,34,0,diamond_checkered_5,LNVVC13Q
93,48,2026-04-23T08:35:05Z,combine,0,6,33,0,diamond_checkered_5,LNVVC13Q
93,49,2026-04-23T08:35:09Z,moveDown,0,7,33,0,diamond_checkered_5,LNVVC13Q
93,50,2026-04-23T08:35:09Z,moveDown,0,8,33,0,diamond_checkered_5,LNVVC13Q
93,51,2026-04-23T08:35:09Z,moveDown,0,9,33,0,diamond_checkered_5,LNVVC13Q
93,52,2026-04-23T08:35:09Z,moveDown,0,10,33,0,diamond_checkered_5,LNVVC13Q
93,53,2026-04-23T08:35:10Z,moveDown,0,11,33,0,diamond_checkered_5,LNVVC13Q
93,54,2026-04-23T08:35:10Z,moveDown,0,12,33,0,diamond_checkered_5,LNVVC13Q
93,55,2026-04-23T08:35:10Z,moveDown,0,13,33,0,diamond_checkered_5,LNVVC13Q
93,56,2026-04-23T08:35:10Z,moveDown,0,14,33,0,diamond_checkered_5,LNVVC13Q
93,57,2026-04-23T08:35:11Z,moveRight,1,14,33,0,diamond_checkered_5,LNVVC13Q
93,58,2026-04-23T08:35:11Z,moveRight,2,14,33,0,diamond_checkered_5,LNVVC13Q
93,59,2026-04-23T08:35:12Z,moveRight,3,14,33,0,diamond_checkered_5,LNVVC13Q
93,60,2026-04-23T08:35:12Z,moveRight,4,14,33,0,diamond_checkered_5,LNVVC13Q
93,61,2026-04-23T08:35:12Z,moveRight,5,14,33,0,diamond_checkered_5,LNVVC13Q
