sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms
61,easy,2026-04-21 09:35:49,UM6R0NFA,easy,25,female,10,4,none,10_31_40,TRUE,212110,Match same shapes with same shapes\nIgnore colour and pattern\nPurple should harvest??,Keep matching shapes all the way through the game until it turns purple in colour then it wont match with anything so move on!,"Same shapes, ignore pattern and colour until it turns purple.",23632,116460,39925
62,medium,2026-04-21 09:39:58,VVT0INJJ,medium,49,male,10,8,It didnt work to trust the other players.,10_33_43,TRUE,200102,"Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.","Only combine Triangles with Diamonds, and Squares with Circles (and vice versa both)",The rules suggested by other players didnt work.,10151,246833,34182
63,easy,2026-04-21 09:40:50,9RCJPAYG,easy,35,female,9,4,NA,10_31_36,TRUE,400040,"Match shapes with same/similar shapes, pattern and colour do not matter, take your time and remember to use spacebar wisely.","Merge shapes with matching shapes eg. square & square, regardless of pattern, until you get to purple. Dont forget to drop your purple shape in an empty square to recieve points.","Some shapes are left at the end, use them up to collect extra points.",70510,168189,141374
64,hard,2026-04-21 09:41:02,90UP8FOD,hard,34,female,7,6,No thank you,10_31_40,TRUE,111000,"Diamonds and triangle together, circles and squares together",concentrate on squares and circles matching together and vary the patterns on the shapes to get a match,changing up the patterns helped with matching,24037,338402,90144
65,medium,2026-04-21 09:42:06,BEH9Z5E5,medium,61,male,8,9,REAL BRAIN MOTIVATOR THANK YOU,10_31_29,TRUE,111,triangles with circles and squares with diamonds is the best stategy. ALWAYS BANK PURPLES,DIAMONDS AND TRIANGLES SEEMED TO PAY BEST,NO REAL PATTERN I COULD DISCERN APART FROM DIAMONDS AND TRIANGLES,83520,239948,109116
66,hard,2026-04-21 09:46:13,SO5MZORY,hard,37,female,10,7,No thank you. It was fun.,10_35_39,TRUE,21140,Diamond and triangles+triangle+triangle. Harvest. Circles and squares.,"Make sure your first pair of diamonds and triangles, and then circles and squares, match. Keep adding triangles to triangles and squares to squares.","Circles and squares go together, diamonds and triangles go together.",42288,221860,71952
67,medium,2026-04-21 09:49:07,2LYG1W0Z,medium,43,female,9,8,It was interesting as  a lot of the advice did not seem to work.,10_33_51,TRUE,110010,Combinations of triangles and circles \nCombinations of squares and diamonds\nKeep merging with same shape\nBank purples.,Diamonds + triangles give you a colour and was the only combination I found worked. To change colour keep adding a diamond. Collect purple as this is high scoring.\nDiamond +diamond does not work.\nCircle + circle does not work,Only diamonds + triangles in that order I found worked.\nKeep adding a triangle once you have your first combination to move up the colours.,63445,308500,231288
68,easy,2026-04-21 09:50:07,G6JSLX4G,easy,28,male,10,0,I have no additional comments. It was fun,10_33_40,TRUE,400040,Merge the same shapes to the same shapes until you find a purple colour and do not forget to stop on an empty space and press space bar to get points. Colour and pattern does not seem to matter.,Shapes match with the same shapes meaning triangle to triangle square to square so ensure you match the same shapes to the same shapes till you get to purple then press space on an empty square to harvest points once its purple.,Shapes match to the same shapes. Ignore pattern and color and just keep merging the same shapes till you get a purple color which is the max then you harvest it and continue till the next shape and on and on until you clear the board of all shapes that can be matched.,75476,260180,120107
69,medium,2026-04-21 09:50:34,3EMWVGFY,medium,62,female,8,9,Couldnt get the hang of turning an orange one into another colour - tried extra spacebars - dont know what I was doing wrong.,10_36_41,TRUE,164,one person said triangle+diamond and square+circle but another said triangle+circle and square+diamond,Diamond plus triangle works (and square plus circle works) but not triangle plus diamond.,The order you pick them up in matters.,52576,354389,107611
70,medium,2026-04-21 09:50:39,88B42E9J,medium,45,male,9,10,no,10_35_53,TRUE,12,I want to combine triangles with circles and squares with diamonds. If i see a purple bank it there worth a lot.,"I found no combination, the last player who left advice was wrong and did not work. i treid all combinations then was left with collectiong single points. Do not rely on other players and there advice.",I did not notice any paterns or rules. judging by what other players said it is better to play the game on your own and no rely on other players making false statements about combinations that dont work.,78876,286044,184910
71,medium,2026-04-21 09:50:48,I2A9Y19P,medium,54,male,7,10,NA,10_37_33,TRUE,10,"Triangles with circles, squares with diamonds","For me, right at the end I found that squares and circles go together","Dont listen to me, I failed massively by following others instructions",125227,379370,71000
72,hard,2026-04-21 09:53:54,Q1HZEMZK,hard,53,male,6,2,None,10_37_42,TRUE,20409,Diamond and triangles pair together as do circles and squares.\nUse diamond plus triangle to improve diamond then add triangles.\nDo the same with circles plus square then extra squares.\nMake sure to harvest for points.,"Diamonds and triangles fuse, but they have to have the same pattern inside them.  The same for circles and squares.  New items sometimes appear on the map so take your time and wait for them to appear.",The patterns inside the shapes needs to match for the fusion to work.,112743,530623,139543
73,medium,2026-04-21 09:57:27,4VQVZFP2,medium,27,male,9,8,It took me too long to figure out the method so didnt achieve the higher results I wanted,10_42_20,TRUE,334,"Only combine Triangles with Circles\nand Squares with Diamonds\n\nBank purple right away, you cannot increase the value\n\nKeep following the same combination of shapes above",Combine Circles & Squares only and Triangles and Diamonds only\n\nCombine a blank shape with a patterned shape to receive an upgraded version of the shape you were holding\n\nCarry this over same method up into the upgraded shapes. This took too long for me to figure out so I didnt achieve as many points as I should have following this method,Combine a blank shape with a shape with a pattern or vice versa. This will give you an upgraded version of the shape you were holding (i.e. holding blank red diamond + patterned triangle = patterned orange diamond) pr (holding patterned red square + blank circle = blank orange square).,70910,453083,274352
74,hard,2026-04-21 11:13:07,UAKYP14G,hard,27,female,8,7,NA,12_08_14,TRUE,21022,Diamond + triangle + triangle + triangle\nCircle + square + square,Circle + Square is a good combo\nDiamond + Triangle is also a good combo,The plain shapes didnt seem to match well with the pattern shapes after the first fusion.,31372,139380,78663
75,medium,2026-04-21 11:15:36,O6U3BQ95,medium,33,female,8,6,none,12_08_31,TRUE,301014,bank purples\ntriangle + circle\nsquare + diamond,bank purples asap,the patterns mean something and can help you build up higher points worth colours,24211,248932,43168
76,medium,2026-04-21 11:15:56,5S5QXNT6,medium,29,female,8,6,no,12_09_08,TRUE,300031,triangle + circle \nSquare + diamond \nPurple - BANK,Cirle + Square \nDiamond + triangle \n\nMAKE SURE THAT THE PATTERNS ARE DIFFERENT THE SAME PATTERN TOGETHER WONT WORK\n\nPURPLE - BANK IT,The patterns must be different if they are the same pattern it wont combine,21247,223079,65424
77,easy,2026-04-21 11:19:46,4KMY1EG2,easy,72,noresp,5,10,no,12_08_03,TRUE,200020,Colour and pattern dont matter,I didnt understand the game,I didnt understand the game,27806,352436,27406
78,medium,2026-04-21 11:20:21,X9B5KQ61,medium,60,male,9,6,None,12_13_20,TRUE,100100,Take the advice of the leading scorer.,Circles and squares are the ones to fuse together,Try different colours and see how that works.,28713,195780,69077
79,medium,2026-04-21 11:23:19,95PUWGA3,medium,58,male,8,7,no,12_11_15,TRUE,101,try the combos triangle circle square diamond he mentioned bank at purple,getting the shapes to combine into yellow or other colour maxes points,keep trying to make new colours to combine,56528,339574,81514
