"","sub_id","msg_id","msg_from","note_text","saved_at","msg_rank","condition","total_points","log_total_points"
"1",5,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:08Z",1,"hard",11000,9.30574145673943
"2",6,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:32:15Z",1,"hard",23015,10.0439449052314
"3",6,11,"Player #1","Fusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:20Z",1,"hard",23015,10.0439449052314
"4",7,22,"Player #2","If you combine two shapes together and keep combing them, you move up in the crystal points rank","2026-04-14T08:32:56Z",2,"medium",1000,6.90875477931522
"5",8,3,"Player #3","just continue too pair up the red shapes with the ones you create too make purple","2026-04-14T08:32:17Z",3,"easy",100010,11.5130354589207
"6",9,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:33:24Z",1,"hard",4,1.6094379124341
"7",9,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:33:45Z",1,"hard",4,1.6094379124341
"8",10,11,"Player #1","Diamonds and triangles go together. Circles and squares go together","2026-04-14T08:32:53Z",1,"hard",110000,11.6082447356423
"9",11,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:33:41Z",1,"hard",11053,9.31054763239321
"10",12,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.\nFusion rules & patterns:\n\nDiamonds and triangles go together. Circles and squares go together","2026-04-14T08:33:14Z",1,"hard",10010,9.21143976741948
"11",13,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.","2026-04-14T08:34:43Z",1,"hard",1213,7.10167597161944
"12",14,11,"Player #1","Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest.","2026-04-14T08:33:48Z",1,"hard",1021,6.92951677076365
"13",15,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.","2026-04-14T08:37:02Z",1,"medium",101,4.62497281328427
"14",16,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:36:19Z",1,"easy",152,5.03043792139244
"15",16,2,"Player #2","Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).","2026-04-14T08:36:26Z",2,"easy",152,5.03043792139244
"16",16,3,"Player #3","just continue too pair up the red shapes with the ones you create too make purple","2026-04-14T08:36:38Z",3,"easy",152,5.03043792139244
"17",16,4,"Player #4","Match alike shapes with different shades each transition","2026-04-14T08:36:44Z",4,"easy",152,5.03043792139244
"18",18,1,"Player #1","Gems of the same shape merge to make new gems. Colour and pattern doesn't seem to matter.","2026-04-14T08:34:35Z",1,"easy",400040,12.8993223208374
"19",18,1,"Player #1","Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials","2026-04-14T08:34:38Z",1,"easy",400040,12.8993223208374
"20",19,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!","2026-04-14T08:33:59Z",1,"medium",140,4.94875989037817
"21",19,21,"Player #1","Triangle + Diamond (can keep stacking more diamonds) Square + Circle (again keep stacking circles) REMEMBER to pick up in the order stated (not sure what'll happen the opposite way)","2026-04-14T08:34:02Z",1,"medium",140,4.94875989037817
"22",20,21,"Player #1","I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying.","2026-04-14T08:35:41Z",1,"medium",10,2.39789527279837
"23",20,21,"Player #1","the actual shapes themselves.","2026-04-14T08:35:49Z",1,"medium",10,2.39789527279837
